query,mist_url,score,content,content_type,,rank,status 
,https://www.mist.com/documentation/troubleshoot-specific-connectivity-issues-using-marvis/,1.2155331,Give you the Good or Bad events related to the client where you can always download the dynamic PCAPs for the bad events that occurred. If you have not purchased the VNA subscriptions Go to Monitor Page  WiFi Sle  Check which SLE is falling down for a particular time period (In our case it is basically Successful Connect). Now you know that successful connect is falling for my site this falling can be because of DHCP issue Authorization or Association (In our case successful connect is 0% and what is contributing for its 0% is due to 100% DHCP. Click on Successful connect Click on the classifier Go to affected Item and check for impacted Clients and Access points Click the MAC address of client to view its insights it will take you to client events and you can check using time period when the user was affected. Also can download the PCAPs for bad events and analysis.,snippet,,5,2
inventoty page,,,,,This is a Page Redirection Intent.  No need to show documentation.,,
,https://www.mist.com/documentation/new-ble-clients-page/,1.4939533,BLE Clients page,title,,1,0
,https://www.mist.com/documentation/metrics-on-the-switches-page/,1.4049474,Metrics on the Switches Page,title,,2,0
,https://www.mist.com/documentation/cisco-ise-policy-enforcement/,1.3419101,Mist_Policy_Enforcement_ISE,snippet,,3,0
,https://www.mist.com/documentation/new-ble-clients-page/,1.33324,BLE Clients page Where is the BLE Client Page?,subtitle,,4,0
,https://www.mist.com/documentation/site-information/,1.3322737,Site Information,title,,5,0
i want to speak to supervisor,,,,,,,
,https://www.mist.com/documentation/how-to-request-an-rma/,1.4066622,How to Request an RMA?,title,,1,2
,https://www.mist.com/documentation/conversational-interface-faqs/,1.3787035,Conversational Assistant FAQs How shall I ask a query/question?,subtitle,,2,1
,https://www.mist.com/documentation/open-support-ticket-2/,1.3421388,How to open a support ticket,title,This should be #1,3,1
,https://www.mist.com/documentation/introduction-to-the-conversational-assistant/,1.2910725,Introduction to the Conversational Assistant,title,,4,1
,https://www.mist.com/documentation/administrator-roles/,1.2606066,Administrator Roles,title,,5,0
where to setup the SDK ?,,,,,,,
,https://www.mist.com/documentation/get-mist-sdk/,1.5829829,How do I  get  the Mist SDK,title,,1,1
,https://www.mist.com/documentation/april-8th-2021-updates/,1.4687642,April 8th 2021 Updates Marvis SDK,subtitle,,2,2
,https://www.mist.com/documentation/ios-integration/,1.4606551,IOS Integration Installation  Manually using framework:,subtitle,,3,2
,https://www.mist.com/documentation/ios-integration/,1.4373007,For more detail you can see the implementation in the Demo app. Download the sample app zip file for DR SDK integration.,snippet,,4,2
,https://www.mist.com/documentation/android-integration/,1.4261107,Android Studio: 4.0 or laterMinimum Android SDK: API 26Target Android SDK: API 29Mist AP wireless network infrastructureBluetooth enabled Android deviceAccess to Mist Account,snippet,,5,2
where to check for location diagnostics issues ?,,,,,This is a Page Redirection Intent.  No good documentation links exists,,
,https://www.mist.com/documentation/beam-density-not-showing/,1.5224017,Location Diagnostic Beam Density Coverage Map,title,,1,1
,https://www.mist.com/documentation/beam-density-not-showing/,1.50864,Location Diagnostic Beam Density Coverage Map None,subtitle,,2,1
,https://www.mist.com/documentation/beam-density-not-showing/,1.50864,Location Diagnostic Beam Density Coverage Map None,subtitle,,3,1
,https://www.mist.com/documentation/beam-density-not-showing/,1.5073937,Location Diagnostic Beam Density Coverage Map BLE Assets,subtitle,,4,1
,https://www.mist.com/documentation/beam-density-not-showing/,1.4981754,Location Diagnostic Beam Density Coverage Map App Clients,subtitle,,5,1
machine learning page for location,,,,,This is a Page Redirection Intent.  No good documentation links exists,,
,https://www.mist.com/documentation/site-location/,1.4750563,Site Location,title,,1,0
,https://www.mist.com/documentation/location-deployment-guide-pdf/,1.420987,Location Deployment Guide (PDF),title,,2,1
,https://www.mist.com/documentation/design-for-location/,1.3968271,Design for Location,title,,3,1
,https://www.mist.com/documentation/design-for-location/,1.3954571,Design for Location Useful trick to do location designs,subtitle,,4,2
,https://www.mist.com/documentation/site-location-when-google-api-unavailable/,1.3785765,Site Location when Google API Unavailable,title,,5,0
check machine learning page,,,,,,,
,https://www.mist.com/documentation/persistent-sticky-mac-learning/,1.3672975,Persistent (Sticky) MAC Learning Overview,subtitle,,1,0
,https://www.mist.com/documentation/metrics-on-the-switches-page/,1.3240534,Metrics on the Switches Page,title,,2,0
,https://www.mist.com/documentation/persistent-sticky-mac-learning/,1.3213257,Persistent (Sticky) MAC Learning,title,,3,0
,https://www.mist.com/documentation/persistent-sticky-mac-learning/,1.2924025,Persistent (Sticky) MAC Learning Troubleshooting/Limitations,subtitle,,4,0
,https://www.mist.com/documentation/switch-testing-tools/,1.292112,Switch Testing Tools,title,,5,0
reset meachine learning for location,,,,,This is a Page Redirection Intent.  ,,
,https://www.mist.com/documentation/adding-ap-location/,1.468537,Adding an AP for Location,title,,1,0
,https://www.mist.com/documentation/good-location-setup/,1.4515008,Good Location Setup Set AP Orientation,subtitle,,2,0
,https://www.mist.com/documentation/design-for-location/,1.4370685,Design for Location Useful trick to do location designs,subtitle,,3,2
,https://www.mist.com/documentation/design-for-location/,1.4235754,Design for Location Validating AP Design,subtitle,,4,2
,https://www.mist.com/documentation/location-analytics-reports-deprecation/,1.4119943,Location Analytics/Reports Deprecation,title,,5,0
where to see RF glass view,,,,,This is a Page Redirection Intent.  ,,
,https://www.mist.com/documentation/july-28th-2017-updates/,1.3861803,In addition to the data visibility updates in RF Glasses we are also introducing RF Environment Record & Replay. With this feature you can record and store the map view of live sessions when using RF glasses. Take recordings of multiple sessions and access your playback data underLocation -> RF Environment Replay where they are available via a dropdown menu. Similar to wi-fi packet captures Mist has another industry first with adding the capability with this release to enable on-demand Location packet captures. To record a session navigate to the RF Glasses view and click on theRecord Sessionbutton. Access your RF Glasses Session recordings underLocation -> RF Environment Replay Play pause rewind and fast forward through your recorded sessions. Also here you can rename your sessions for better organization.,snippet,,1,0
,https://www.mist.com/documentation/july-28th-2017-updates/,1.3809623,RF Environment (we like to call it RF Glasses) gives a visual representation of a mobile users RF environment in real time allowing you to examine Wifi and BLE accuracy as well as troubleshoot wireless coverage issues in your network. In keeping with the Mist tradition of Industry firsts we have expanded the functionalities of RF Glasses to give you an insight into the data the SDK on the mobile device sends back to the Mist cloud for Location calculations. We have added in-depth statistics and client information which include beams/sec beacons/sec and round trip time. View these live statistics as either a Time Series or a Histogram graph when using RF Glasses.,snippet,,2,0
,https://www.mist.com/documentation/searching-live-view/,1.3739021,Searching in Live View,title,,3,0
,https://www.mist.com/documentation/rf-templates/,1.343897,RF Templates,title,,4,0
,https://www.mist.com/documentation/rf-templates-2/,1.343897,RF Templates,title,,5,0
where to check network topology,,,,,This is a Page Redirection Intent.  ,,
,https://www.mist.com/documentation/inactive-wired-vlans/,1.6235715,Inactive Wired VLANs How to check which VLAN is missing on the switch port?,subtitle,,1,0
,https://www.mist.com/documentation/inactive-wired-vlans/,1.589862,Inactive Wired VLANs How to verify if the Marvis AI is detecting the correct case of missing VLANs?,subtitle,,2,0
,https://www.mist.com/documentation/inactive-wired-vlans/,1.5353822,To verify whether the Marvis AI is detecting the correct case for missing VLANs you can do a packet capture/port mirroring on the switch port where the AP is connected and use the Wireshark tool to analyze the traffic. You can also use the VLAN filter to verify whether or not traffic is coming from that VLAN. See this page for more help on setting up Wireshark: https://www.mist.com/documentation/setting-wireshark-packet-captures/,snippet,,3,0
,https://www.mist.com/documentation/marvis-missing-vlans/,1.5196524,Missing VLANs,title,,4,0
,https://www.mist.com/documentation/october-1st-2020-updates/,1.5024041,View your switch setup in a topology view to better visualize the structure of your multi-level network. On your switches page select the Topology tab to toggle to the topology view. Here view switches gateways access points wired clients and wireless clients all on one page. Hover over each individual element to see the details such as MAC address Uptime and Power Draw.,snippet,,5,1
i want to see network diagram,,,,,This is a Page Redirection Intent.  ,,
,https://www.mist.com/documentation/october-1st-2020-updates/,1.405631,View your switch setup in a topology view to better visualize the structure of your multi-level network. On your switches page select the Topology tab to toggle to the topology view. Here view switches gateways access points wired clients and wireless clients all on one page. Hover over each individual element to see the details such as MAC address Uptime and Power Draw.,snippet,,1,1
,https://www.mist.com/documentation/ap-course-slide-7-network/,1.357029,Network Information,title,,2,2
,https://www.mist.com/documentation/network-and-engagement-analytics/,1.3253137,Network and Engagement Analytics,title,,3,0
,https://www.mist.com/documentation/june-3rd-2021-updates/,1.3209213,The topology view gives a clean graphical view of your list of gateways switches and other devices running on your site. For those that prefer to use this view over the list view we are adding more details for you when you hover over the switch and gateway icons. In your switch topology you can now see Agg. Ethernet wired client connections indicated with different colored boxes: In the gateway topology you can now see the STP state when hovering over the gateway:,snippet,,4,1
,https://www.mist.com/documentation/mesh-configuration/,1.3194762,Mesh Configuration What is Mesh in Wireless?,subtitle,,5,0
hostorical data,,,,,This is a Page Redirection Intent.  ,,
,https://www.mist.com/documentation/data-rates/,1.5139952,Data Rates,title,,1,0
,https://www.mist.com/documentation/personal-wlans/,1.3989031,Personal WLANs,title,,2,0
,https://www.mist.com/documentation/dscp-mapping/,1.384996,DSCP Mapping,title,,3,0
,https://www.mist.com/documentation/ap-course-slide-7-network/,1.3676597,Network Information,title,,4,2
,https://www.mist.com/documentation/sle-api-documentation/,1.3508084,SLE API Documentation,title,,5,2
heatmap of floor,,,,,This is a Page Redirection Intent.  ,,
,https://www.mist.com/documentation/good-location-setup/,1.4265317,To scale the floor plan Select Live View from the Location side navigation menu. 2. Select the site and floor plan you want to scale 3. Click on Setup floor plan. 4. Confirm by clicking OK. 5. Select the Set Scale option. 6. Scale the floor plan and save. Scale can be thought of as the foundation for your location accuracy. If for example a room is 10 meters long but you scale the room to be 1000 meters long in the system then when you physically walk 5 meters the system UI would only reflect you as moving one inch. This gives the false impression that the location is broken; however the location has actually placed you correctly based on the provided scale. Thus it is crucial that your floor plan is scaled properly. One trick if you dont know the scale of a floor plan is to look for a standard door and scale that door to be 0.91 meters (3 feet). This should scale the floor plan appropriately. Next set AP placement. Note: Set Origin can be used to modify the 00 coordinates of the floor plan. This is typically not necessary and is most commonly used in conjunction with third party systems.,snippet,,1,0
,https://www.mist.com/documentation/premium-analytics/,1.3769399,Gaining insight into how many users are visiting a location in general and how long users are tending to stay in said location. Number of visitors / Median visit time / Zones / FloorsUser/SiteZone heatmap,snippet,,2,0
,https://www.mist.com/documentation/september-17th-2020-updates/,1.3767987,We are adding a new Floorplan column in the Access Points List Page that shows which floorplan each individual AP is configured for. Previously on larger sites with multiple floorplans there was no easy option to find an AP on the AP List page and identify which floorplan it resides in. It was also difficult to see which APs were missing from your floor plan. With this new column you can easily look at your entire AP List and know exactly which floorplan each AP is configured for. Be sure to enable this column in your AP list table settings. You can drag the column in the settings window to set your preferred column order:,snippet,,3,0
,https://www.mist.com/documentation/beam-density-not-showing/,1.3706727,Location Diagnostic Beam Density Coverage Map,title,,4,0
,https://www.mist.com/documentation/dscp-mapping/,1.3673652,DSCP Mapping,title,,5,0
what is MTU ?,,,,,,,
,https://www.mist.com/documentation/april-30th-2020-updates/,1.54863,April 30th 2020 Updates Configurable MTU,subtitle,,1,0
,https://www.mist.com/documentation/february-11th-2021-updates/,1.4313118,February 11th 2021 Updates MTU Options in Port Profiles,subtitle,,2,1
,https://www.mist.com/documentation/wired-service-level-expectations-sle/,1.3893678,The details for interface anomalies are all obtained from the switch. The data is then correlated into a format that is easier to consume for users. The Interface Anomalies Classifier is split up into 3 Sub-Classifiers: MTU Mismatch Cable Issues and Negotiation Failed. Admins have the ability to set the Max Transmission Unit (MTU) on each interface (The default is 1514 for gigabit interfaces). If the interface needs the ability to send Jumbo Frames the MTU is set to a higher 9216. MTU needs to be the same value along the path of the packet and if there are any MTU Mismatches the packets will be discarded. In Juniper switches MTU mismatches can be identified under MTU Errors and Input Errors. Every time an Input Error or MTU Error is observed on an interface we calculate a bad user minute for that user. If a physical cable on your network setup is faulty we will detect this and the Cable Issues Sub-classifier will indicate failure. Latency can be observed on ports when Local or remote device settings are misconfigured Auto-negotiation fails or when there is a possible duplex conflict. Older devices may not be able to negotiate at full speed and will fall back to a slower link speed of 100 Mbps. These scenarios can cause latency issues for clients connected.,snippet,,3,2
,https://www.mist.com/documentation/february-11th-2021-updates/,1.3752437,We now allow you to enable MTU in your port profiles under the Device configuration Site Switch configuration and Org Network Templates. Learn more about Wired Assurance capabilities in our documentation section: https://www.mist.com/documentation/category/wired-assurance/,snippet,,4,1
,https://www.mist.com/documentation/april-30th-2020-updates/,1.3532681,To set up a tunnel configuration go to Organization > Mist Tunnels and select Create. When setting up a tunnel enabling IPsec now automatically selects IP as the Protocol and sets the MTU to 1300. From here you may change the MTU to your desired value. Please note that the 0.7.19944 firmware supports IPSec and you may upgrade your APs from the UI to this version.,snippet,,5,0
how to check port anamolies ?,,,,,,,
,https://www.mist.com/documentation/ports-enable-firewall/,1.4358993,Ports to enable on your firewall,title,Port is synonymous with interface in some contexts.  Wired SLE link has info abt this.,1,0
,https://www.mist.com/documentation/troubleshooting-gateways-srx/,1.4192661,Please check your cloud environment to see which ports and hosts to enable,snippet,,2,0
,https://www.mist.com/documentation/troubleshooting-switches/,1.4192661,Please check your cloud environment to see which ports and hosts to enable,snippet,https://www.mist.com/documentation/wired-service-level-expectations-sle/,3,0
,https://www.mist.com/documentation/inactive-wired-vlans/,1.4184909,Inactive Wired VLANs How to check which VLAN is missing on the switch port?,subtitle,,4,0
,https://www.mist.com/documentation/best-practices-switch-port-configs/,1.4056377,Best Practices for switch port configs,title,,5,2
why is uplink interface congested,,,,,,,
,https://www.mist.com/documentation/aps-use-ip-addresses/,1.4686184,Why AP’s use multiple IP addresses,title,Page redirection intent ,1,0
,https://www.mist.com/documentation/wired-service-level-expectations-sle/,1.3983444,Wired Service Level Expectations (SLE) Congestion Uplink,subtitle,https://www.mist.com/documentation/wired-service-level-expectations-sle/,2,0
,https://www.mist.com/documentation/why-do-clients-disconnect-when-you-add-a-new-wlan/,1.3963499,Why do clients disconnect when you add a new WLAN?,title,,3,2
,https://www.mist.com/documentation/wired-service-level-expectations-sle/,1.3943452,High congestion uplink can be caused by: A neighbor being a switch or router (this is known through LLDP)When port is a STP Root PortTx and RX is higher than the rest of the portsAggregated LinksModule ports We attach a coefficient to each of these factors and run a logistic regression function against each factor to determine the uplink.,snippet,,4,1
,https://www.mist.com/documentation/inactive-wired-vlans/,1.3789285,Inactive Wired VLANs How to fix the missing VLAN error?,subtitle,,5,0
site confifuration,,,,,,,
,https://www.mist.com/documentation/site-location/,1.5911546,Site Location,title,Page redirection intent ,1,2
,https://www.mist.com/documentation/site-information/,1.5910115,Site Information,title,,2,2
,https://www.mist.com/documentation/site-groups/,1.4352854,Site Groups,title,,3,2
,https://www.mist.com/documentation/site-proxy/,1.4119787,Site Proxy,title,,4,2
,https://www.mist.com/documentation/site-security-configuration/,1.3954406,Site Security Configuration,title,,5,1
looping issues,,,,,,,
,https://www.mist.com/documentation/troubleshooting-switches/,1.4157608,Troubleshooting Switches,title,Page redirection intent ,1,1
,https://www.mist.com/documentation/roaming-issues/,1.4065037,Roaming Issues,title,https://www.mist.com/documentation/wired-service-level-expectations-sle/,2,0
,https://www.mist.com/documentation/coverage-problems/,1.3904822,Coverage Problems,title,,3,0
,https://www.mist.com/documentation/api-rate-limiting/,1.3215775,API Rate Limiting,title,,4,0
,https://www.mist.com/documentation/dscp-mapping/,1.2958646,DSCP Mapping,title,,5,0
where to set up site variiables,,,,,,,
,https://www.mist.com/documentation/site-security-configuration/,1.4847888,Site Security Configuration,title,Page redirection intent ,1,1
,https://www.mist.com/documentation/webhooks-device-updowns-disconnection_sensitivity-feature/,1.4432365,Webhooks Device – Updowns Disconnection_Sensitivity Feature For Site Setup :,subtitle,,2,0
,https://www.mist.com/documentation/site-location/,1.4241602,Site Location,title,,3,0
,https://www.mist.com/documentation/ap-upgrades/,1.3581026,Scheduled AP Auto Upgrades can be set up in the Site Configuration page. Go to Organization > Site Configuration and select your site from the list. Follow the detailed instructions on this page: https://www.mist.com/documentation/ap-firmware/ to get set up.,snippet,,4,0
,https://www.mist.com/documentation/vlans-configured-site-variables/,1.3575926,VLANs configured as site variables,title,,5,1
how to set up variables?,,,,,Page redirection intent ,,
,https://www.mist.com/documentation/postman-using-variables/,1.475186,Postman using Variables,title,,1,1
,https://www.mist.com/documentation/dynamic-port-configuration/,1.3959703,Dynamic Port Configuration,title,,2,0
,https://www.mist.com/documentation/vlans-configured-site-variables/,1.3820882,VLANs configured as site variables,title,,3,1
,https://www.mist.com/documentation/mesh-configuration/,1.3788623,Mesh Configuration How to set up Mesh?,subtitle,,4,0
,https://www.mist.com/documentation/vlans-configured-site-variables/,1.3749171,VLANs configured as site variables Here is an example on how to use site variables with VLANs:,subtitle,,5,1
webhooks setup,,,,,Page redirection intent ,,
,https://www.mist.com/documentation/webhooks-2/,1.5451611,Webhooks,title,,1,1
,https://www.mist.com/documentation/webhooks-device-updowns-disconnection_sensitivity-feature/,1.5447941,Webhooks Device – Updowns Disconnection_Sensitivity Feature For Site Setup :,subtitle,,2,1
,https://www.mist.com/documentation/mesh-configuration/,1.5205168,Mesh Configuration,title,,3,0
,https://www.mist.com/documentation/good-location-setup/,1.516468,Good Location Setup,title,,4,0
,https://www.mist.com/documentation/webhooks-device-updowns-disconnection_sensitivity-feature/,1.4933705,Webhooks Device – Updowns Disconnection_Sensitivity Feature Organization Setup :,subtitle,,5,1
webhook config,,,,,Page redirection intent ,,
,https://www.mist.com/documentation/webhooks/,1.7473521,Webhook Implementation,title,,1,1
,https://www.mist.com/documentation/webhook-message-flow/,1.6615458,Webhook Message Flow,title,,2,1
,https://www.mist.com/documentation/webhooks/,1.657504,Webhook Implementation Testing out Webhooks:,subtitle,,3,1
,https://www.mist.com/documentation/september-17th-2020-updates/,1.6198242,Configuration Status for switches are now included in the webhook topic device-events. Using this webhook you can monitor the status of your switch configurations and know if your status is either failing or succeeding. Please note that this webhook is only available via API for now. Please reference our Webhooks documentation section to learn more about configuring through the API: https://www.mist.com/documentation/category/webhooks/,snippet,,4,0
,https://www.mist.com/documentation/webhooks/,1.5967076,Webhook Implementation Organization & Site Level Webhooks (API),subtitle,,5,1
idap certificate,,,,,Page redirection intent ,,
,https://www.mist.com/documentation/january-12th-2021-updates/,1.3572178,January 12th 2021 Updates Custom AP RadSec Certificate,subtitle,,1,2
,https://www.mist.com/documentation/wired-packet-capture/,1.2444901,Wired Packet Capture,title,,2,0
,https://www.mist.com/documentation/ap-course-slide-2-ap41/,1.2226351,AP41 & A41(External),title,,3,0
,https://www.mist.com/documentation/ap33/,1.2136712,AP33,title,,4,0
,https://www.mist.com/documentation/radsec/,1.2120534,RadSec API configuration,subtitle,,5,2
how to overwrite template configuration,,,,,Page redirection intent ,,
,https://www.mist.com/documentation/configuration-templates/,1.6944548,Configuration Templates Configuration Template example,subtitle,,1,1
,https://www.mist.com/documentation/configuration-templates/,1.640473,Configuration Templates,title,,2,1
,https://www.mist.com/documentation/november-15th-2018-updates/,1.4908617,Organization templates are useful when trying to configure the same setting for multiple sites. Simply create a WLAN WLAN Data Tunnel or Organization Policy in your template and select which Sites/Site Groups to apply them to. A useful feature when applying templates is the ability to offer an exception where the template is not applied.. This allows certain sites to be excluded from the template configuration. This week we are including Site Groups to also be selected when using this function. To use organization templates navigate toOrganization > Config Templates. Follow the steps in ourOrganization Templatespage to see step-by-step directions.,snippet,,3,1
,https://www.mist.com/documentation/mesh-configuration/,1.4757776,Mesh Configuration How to set up Mesh?,subtitle,,4,2
,https://www.mist.com/documentation/april-2017-update/,1.467836,April 2017 Update RF Templates,subtitle,,5,1
how can I see all labels,,,,,,,
,https://www.mist.com/documentation/organization-labels-vs-site-labels/,1.4598902,Organization Labels (vs site labels),title,,1,1
,https://www.mist.com/documentation/organization-labels-vs-site-labels/,1.3466856,Labels are a key feature for Mist they can be considered as tags or groups which can be used to make decisions and policies easier to understand. WxLAN/Policies define a list of rules restrictions and other settings that can be applied to devices in order to change how they are treated by the network. Add labels and policies at the organization level to be applied to multiple sites at once. Setup Org level policies using the same method as site level policies. First create and define your Org level labels accessible through Organization -> Labels. Using these Org labels create Org Policies in the template view (Organization -> Config Templates). Organization level policies take precedence over Site level policies so your Site level policies will only take effect only if none of the Org level policy conditions match the client behavior. Items which can be labeled include: AAA AttributeWiFi Client (by Mac or Name)BLE AssetApp ClientWLANAccess PointIP AddressHostnameApplicationPort AAA AttributeWiFi Client (by Mac or Name)BLE AssetApp ClientWLANAccess PointIP AddressHostnameApplicationPort,snippet,,2,1
,https://www.mist.com/documentation/how-to-enable-app-visibility/,1.3357143,How to Enable App Visibility,title,,3,0
,https://www.mist.com/documentation/may-30th-2018-updates/,1.3274819,This week we implemented a fix which prevents users from deleting labels if they are being used in any WxLAN policy on the site. Labels must be removed from any site policies before they can be deleted from the site. This prevents the accidental removal of any labels in use which would render its site policy ineffective. Currently our API will prevent this action by giving an error but shortly we will include a message explaining why the label cannot be deleted.,snippet,,4,0
,https://www.mist.com/documentation/april-30th-2020-updates/,1.3264586,You can easily view the entire inventory of switches on your organization by going to the Inventory page (Organization > Inventory) and selecting the Switches tab. In an effort to provide a comprehensive view of your devices we now display the Serial Number of your switches in its own column.,snippet,,5,0
apply labels,,,,,Page redirection intent ,,
,https://www.mist.com/documentation/november-2017-ga-features/,1.3902605,Create labels and policies for defined hostnames and applications. Use these labels and create WxLAN policies or Rate Limit specific hostnames/applications when setting up a WLAN. Learn more about creating WxLAN Policies here:https://www.mist.com/documentation/wxlan-policy/,snippet,,1,1
,https://www.mist.com/documentation/may-30th-2018-updates/,1.364713,This week we implemented a fix which prevents users from deleting labels if they are being used in any WxLAN policy on the site. Labels must be removed from any site policies before they can be deleted from the site. This prevents the accidental removal of any labels in use which would render its site policy ineffective. Currently our API will prevent this action by giving an error but shortly we will include a message explaining why the label cannot be deleted.,snippet,,2,2
,https://www.mist.com/documentation/organization-labels-vs-site-labels/,1.3526808,Labels are a key feature for Mist they can be considered as tags or groups which can be used to make decisions and policies easier to understand. WxLAN/Policies define a list of rules restrictions and other settings that can be applied to devices in order to change how they are treated by the network. Add labels and policies at the organization level to be applied to multiple sites at once. Setup Org level policies using the same method as site level policies. First create and define your Org level labels accessible through Organization -> Labels. Using these Org labels create Org Policies in the template view (Organization -> Config Templates). Organization level policies take precedence over Site level policies so your Site level policies will only take effect only if none of the Org level policy conditions match the client behavior. Items which can be labeled include: AAA AttributeWiFi Client (by Mac or Name)BLE AssetApp ClientWLANAccess PointIP AddressHostnameApplicationPort AAA AttributeWiFi Client (by Mac or Name)BLE AssetApp ClientWLANAccess PointIP AddressHostnameApplicationPort,snippet,,3,1
,https://www.mist.com/documentation/wxlan-policy/,1.3096296,1. The first step is to create labels. Creating labels can be done for both Users and Resources for which you want to add policy for. This can be done by clicking on Network on the left-hand navigation bar then select Labels. 2.Here you have the option to either select an existing label or add a new label by clicking on the Add Label button on the far top right of the page. 3.Once you have selected an existing label or clicked on the Add Label button it takes you to the Labels page. Where you can name the label choose a label type and set label values. As said earlier labels can be set for Users and Resources as well. User labels typically select the following Label Types  AAA attribute WiFi Client WLAN and Access Point. While Resources labels typically select the following label types  IP Address Hostname or application. 4.Once you selected your criteria for the labels click on Create to create the label. You can also define a label for IP/Protocol/Port. In this label entry you can enter the specific IP addresses of your client the Protocol (ICMP TCP UDP Other) and the port or range of ports being used. This can be used by WxLAN to filter out clients matching the combination of IP/Protocol/Port as defined by your label. 5.Labels can also be tagged to clients. This can be done by clicking Clients in the left-hand navigation then WiFi Clients and clicking on the client. Then click on + under Labels to add labels to specific clients. Click on save to save the setting. 6.To create a Network policy navigate to Network in the left-hand navigation then Policy to open the WxLAN page. 7.Here you can add rules or policy by clicking on the Add Rule tab. 8.You can add the labels you have created earlier under the Users and Resources sections by clicking on + under each of the sections. 9.The Resource labels can be set to either allowed or denied by clicking on the appropriate label. 10.Click on Save to save the setting. Note: The policy engine goes through the policies in sequence and applies the policy that exactly matches the client.,snippet,,4,1
,https://www.mist.com/documentation/dscp-mapping/,1.293927,DSCP Mapping,title,,5,0
how to find associations issues for mac,,,,,,,
,https://www.mist.com/documentation/troubleshoot-specific-connectivity-issues-using-marvis/,1.3583238,How to Troubleshoot specific connectivity issues using Marvis Correlation,subtitle,,1,1
